                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.94085,                0.95178,                 1.0961,                0.15893,                   0.25,                0.09149,                0.05692,                   2.13,                  9.565,                 2.5317,              0.0010159,              0.0010159,              0.0010159
                     49,                0.86084,                0.68882,                 1.0042,                0.15893,                   0.25,                0.09149,                0.05692,                   2.13,                  9.565,                 2.5317,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0547,                0.77376,                 1.1182,                0.04019,                   0.25,                0.02052,                0.01121,                 2.3301,                 26.673,                 2.6324,              0.0010195,              0.0010195,              0.0010195
                     51,                 1.1464,                0.75555,                 1.1037,                0.04019,                   0.25,                0.02052,                0.01121,                 2.3301,                 26.673,                 2.6324,                0.00101,                0.00101,                0.00101
                     52,                 1.0471,                0.84518,                 1.1352,                0.04439,                   0.25,                0.01979,                0.01115,                 2.3099,                  29.64,                 2.4013,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0216,                0.76021,                 1.0505,                0.04439,                   0.25,                0.01979,                0.01115,                 2.3099,                  29.64,                 2.4013,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.1079,                0.80096,                 1.0584,                0.35331,                 0.1875,                 0.1214,                0.07106,                 2.1425,                 11.048,                 2.2968,              0.0009506,              0.0009506,              0.0009506
                     55,                0.94418,                 0.8253,                 0.9859,                0.35331,                 0.1875,                 0.1214,                0.07106,                 2.1425,                 11.048,                 2.2968,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.9334,                0.76055,                 1.0406,                0.29266,                  0.375,                 0.1529,                0.07829,                 2.1341,                 6.6871,                 2.3126,               0.000911,               0.000911,               0.000911
                     57,                 1.1175,                0.76063,                 1.1018,                0.29266,                  0.375,                 0.1529,                0.07829,                 2.1341,                 6.6871,                 2.3126,              0.0008912,              0.0008912,              0.0008912
                     58,                0.96043,                0.75303,                 1.0974,                0.04343,                 0.3125,                0.01954,                0.01124,                 2.4647,                 11.412,                 2.3443,              0.0008714,              0.0008714,              0.0008714
                     59,                0.88863,                0.71716,                 1.0495,                0.04343,                 0.3125,                0.01954,                0.01124,                 2.4647,                 11.412,                 2.3443,              0.0008516,              0.0008516,              0.0008516
                     60,                0.96025,                0.73455,                 1.0439,                0.02767,                 0.3125,                0.01143,                0.00547,                 2.3311,                 22.701,                  2.258,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0337,                0.91669,                 1.1235,                0.02767,                 0.3125,                0.01143,                0.00547,                 2.3311,                 22.701,                  2.258,               0.000812,               0.000812,               0.000812
                     62,                 0.9493,                0.77879,                 1.0066,                0.02076,                   0.25,                0.00975,                0.00377,                 2.1441,                 51.273,                 2.1044,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96001,                0.82688,                 1.0726,                0.02076,                   0.25,                0.00975,                0.00377,                 2.1441,                 51.273,                 2.1044,              0.0007724,              0.0007724,              0.0007724
                     64,                0.85777,                0.67935,                 0.9783,                0.03715,                   0.25,                0.01475,                0.00713,                  1.941,                  22.76,                 1.9934,              0.0007526,              0.0007526,              0.0007526
                     65,                0.94799,                0.69841,                 1.0096,                0.03715,                   0.25,                0.01475,                0.00713,                  1.941,                  22.76,                 1.9934,              0.0007328,              0.0007328,              0.0007328
                     66,                0.96077,                 0.7202,                 1.0686,                0.25519,                 0.1875,                0.10311,                 0.0635,                  1.737,                 7.5915,                 1.9686,               0.000713,               0.000713,               0.000713
                     67,                 0.9806,                0.82012,                 1.1042,                0.25519,                 0.1875,                0.10311,                 0.0635,                  1.737,                 7.5915,                 1.9686,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0374,                0.80922,                 1.1602,                 0.2828,                 0.3125,                0.19514,                0.11546,                  1.805,                 4.2069,                 2.1115,              0.0006734,              0.0006734,              0.0006734
                     69,                0.91196,                0.75567,                0.98565,                 0.2828,                 0.3125,                0.19514,                0.11546,                  1.805,                 4.2069,                 2.1115,              0.0006536,              0.0006536,              0.0006536
                     70,                0.83767,                0.68829,                0.97539,                 0.4423,                 0.3125,                 0.2406,                0.14831,                 1.7685,                 3.7986,                  2.193,              0.0006338,              0.0006338,              0.0006338
                     71,                0.86646,                0.65157,                 0.9775,                 0.4423,                 0.3125,                 0.2406,                0.14831,                 1.7685,                 3.7986,                  2.193,               0.000614,               0.000614,               0.000614
                     72,                0.86251,                0.72037,                0.97991,                0.31934,                  0.375,                0.21319,                0.13521,                 1.9257,                 3.4377,                 2.3394,              0.0005942,              0.0005942,              0.0005942
                     73,                0.91039,                0.62641,                 1.0629,                0.31934,                  0.375,                0.21319,                0.13521,                 1.9257,                 3.4377,                 2.3394,              0.0005744,              0.0005744,              0.0005744
                     74,                0.93653,                0.75179,                0.95362,                0.22654,                    0.5,                0.23546,                0.14099,                 2.0561,                 3.3457,                 2.4314,              0.0005546,              0.0005546,              0.0005546
                     75,                0.88661,                0.66886,                0.98475,                0.22654,                    0.5,                0.23546,                0.14099,                 2.0561,                 3.3457,                 2.4314,              0.0005348,              0.0005348,              0.0005348
                     76,                0.82318,                 0.6209,                0.90752,                0.28645,                 0.3125,                 0.2373,                0.14187,                  2.149,                 3.0792,                  2.505,               0.000515,               0.000515,               0.000515
                     77,                0.82905,                0.74063,                  1.114,                0.28645,                 0.3125,                 0.2373,                0.14187,                  2.149,                 3.0792,                  2.505,              0.0004952,              0.0004952,              0.0004952
                     78,                0.88444,                0.68175,                0.95043,                0.35074,                 0.3125,                0.23847,                0.13996,                  2.222,                 2.8746,                 2.5365,              0.0004754,              0.0004754,              0.0004754
                     79,                0.83922,                0.64834,                0.98319,                0.35074,                 0.3125,                0.23847,                0.13996,                  2.222,                 2.8746,                 2.5365,              0.0004556,              0.0004556,              0.0004556
                     80,                0.76722,                0.66142,                 0.9454,                0.26298,                 0.5625,                0.25657,                0.15544,                 2.1532,                 2.5738,                 2.4868,              0.0004358,              0.0004358,              0.0004358
                     81,                0.72589,                0.56657,                0.92183,                0.26298,                 0.5625,                0.25657,                0.15544,                 2.1532,                 2.5738,                 2.4868,               0.000416,               0.000416,               0.000416
                     82,                0.86432,                0.71108,                 1.0187,                0.32604,                 0.5625,                0.29102,                0.17843,                 2.0836,                 2.5713,                 2.4266,              0.0003962,              0.0003962,              0.0003962
                     83,                0.79297,                0.60902,                0.95212,                0.32604,                 0.5625,                0.29102,                0.17843,                 2.0836,                 2.5713,                 2.4266,              0.0003764,              0.0003764,              0.0003764
                     84,                0.75926,                0.57551,                0.95883,                0.39784,                 0.4375,                0.29502,                0.17527,                   2.05,                 2.6362,                 2.3934,              0.0003566,              0.0003566,              0.0003566
                     85,                0.71107,                0.57336,                0.95806,                0.39784,                 0.4375,                0.29502,                0.17527,                   2.05,                 2.6362,                 2.3934,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7662,                0.57309,                0.95423,                0.33263,                 0.5625,                0.29822,                0.17171,                 2.0047,                 2.7428,                 2.3847,               0.000317,               0.000317,               0.000317
                     87,                0.89402,                0.70728,                0.98912,                0.33263,                 0.5625,                0.29822,                0.17171,                 2.0047,                 2.7428,                 2.3847,              0.0002972,              0.0002972,              0.0002972
                     88,                0.79092,                0.58597,                0.97942,                0.37261,                 0.4375,                0.30008,                0.17517,                 1.9327,                 2.9706,                 2.3752,              0.0002774,              0.0002774,              0.0002774
                     89,                0.76248,                0.54454,                0.97215,                0.37261,                 0.4375,                0.30008,                0.17517,                 1.9327,                 2.9706,                 2.3752,              0.0002576,              0.0002576,              0.0002576
                     90,                0.68639,                  0.602,                0.91533,                0.34893,                 0.4375,                0.29846,                0.17207,                 1.9164,                 3.1008,                 2.3741,              0.0002378,              0.0002378,              0.0002378
                     91,                0.80816,                0.72677,                 1.0204,                0.34893,                 0.4375,                0.29846,                0.17207,                 1.9164,                 3.1008,                 2.3741,               0.000218,               0.000218,               0.000218
                     92,                0.70519,                0.61078,                0.97652,                 0.3884,                 0.4375,                0.32811,                0.18151,                 1.9499,                  3.143,                 2.3767,              0.0001982,              0.0001982,              0.0001982
                     93,                0.75451,                0.61056,                  1.081,                 0.3884,                 0.4375,                0.32811,                0.18151,                 1.9499,                  3.143,                 2.3767,              0.0001784,              0.0001784,              0.0001784
                     94,                0.71434,                0.66361,                 1.0436,                0.25075,                 0.8125,                0.31029,                0.17403,                 2.0175,                 2.9315,                 2.4022,              0.0001586,              0.0001586,              0.0001586
                     95,                  0.865,                0.64984,                 1.0489,                0.25075,                 0.8125,                0.31029,                0.17403,                 2.0175,                 2.9315,                 2.4022,              0.0001388,              0.0001388,              0.0001388
                     96,                0.62431,                 0.5418,                0.95856,                0.25652,                0.73344,                0.28916,                0.16717,                 2.0428,                 2.8038,                 2.3969,               0.000119,               0.000119,               0.000119
                     97,                0.68236,                0.56004,                0.90214,                0.25652,                0.73344,                0.28916,                0.16717,                 2.0428,                 2.8038,                 2.3969,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.80842,                0.65649,                0.95355,                0.25041,                 0.7102,                0.28411,                0.16519,                 2.0372,                 2.7834,                 2.3618,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.65557,                0.50725,                0.94319,                0.25041,                 0.7102,                0.28411,                0.16519,                 2.0372,                 2.7834,                 2.3618,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                  0.705,                0.60191,                 1.0341,                0.24952,                 0.6875,                0.26909,                0.15822,                 2.0149,                 2.8092,                 2.3142,               3.98e-05,               3.98e-05,               3.98e-05
